Vardas         Pavarde                 Galutinis (Vid.)    Galutinis (Med.)
Vardas579      Pavarde579                          7.36                7.60
Vardas58       Pavarde58                           6.23                6.60
Vardas581      Pavarde581                          5.76                5.20
Vardas582      Pavarde582                          6.20                6.20
Vardas585      Pavarde585                          7.85                8.20
Vardas586      Pavarde586                          7.47                7.20
Vardas589      Pavarde589                          6.63                7.00
Vardas590      Pavarde590                          6.47                6.60
Vardas591      Pavarde591                          6.75                6.80
Vardas594      Pavarde594                          8.05                8.40
Vardas596      Pavarde596                          5.60                6.00
Vardas597      Pavarde597                          7.23                7.20
Vardas598      Pavarde598                          6.07                5.80
Vardas600      Pavarde600                          6.76                7.00
Vardas603      Pavarde603                          8.61                8.80
Vardas605      Pavarde605                          7.24                7.00
Vardas606      Pavarde606                          6.41                6.20
Vardas607      Pavarde607                          8.29                8.40
Vardas609      Pavarde609                          6.72                6.40
Vardas61       Pavarde61                           5.21                5.40
Vardas610      Pavarde610                          5.05                5.00
Vardas611      Pavarde611                          6.15                6.20
Vardas612      Pavarde612                          7.97                8.00
Vardas614      Pavarde614                          5.21                5.40
Vardas615      Pavarde615                          4.88                5.20
Vardas616      Pavarde616                          7.48                7.80
Vardas617      Pavarde617                          7.04                7.20
Vardas618      Pavarde618                          6.19                6.40
Vardas619      Pavarde619                          5.13                5.00
Vardas620      Pavarde620                          5.45                5.80
Vardas621      Pavarde621                          5.27                5.00
Vardas622      Pavarde622                          5.72                5.40
Vardas623      Pavarde623                          5.40                5.80
Vardas624      Pavarde624                          7.05                7.40
Vardas625      Pavarde625                          5.16                5.40
Vardas626      Pavarde626                          8.24                8.00
Vardas627      Pavarde627                          4.75                5.20
Vardas628      Pavarde628                          5.21                5.40
Vardas629      Pavarde629                          7.09                6.80
Vardas63       Pavarde63                           6.93                6.80
Vardas630      Pavarde630                          6.20                6.60
Vardas631      Pavarde631                          8.19                8.00
Vardas633      Pavarde633                          7.56                7.40
Vardas638      Pavarde638                          6.28                6.60
Vardas640      Pavarde640                          5.33                5.20
Vardas641      Pavarde641                          6.85                7.20
Vardas642      Pavarde642                          4.89                5.00
Vardas643      Pavarde643                          5.36                5.20
Vardas645      Pavarde645                          7.01                6.80
Vardas646      Pavarde646                          6.71                7.00
Vardas648      Pavarde648                          7.03                7.00
Vardas65       Pavarde65                           7.80                7.80
Vardas650      Pavarde650                          8.29                8.40
Vardas651      Pavarde651                          6.69                6.00
Vardas652      Pavarde652                          6.85                6.80
Vardas653      Pavarde653                          4.85                5.20
Vardas655      Pavarde655                          5.27                5.40
Vardas656      Pavarde656                          6.00                6.00
Vardas657      Pavarde657                          5.29                5.00
Vardas663      Pavarde663                          6.68                6.60
Vardas664      Pavarde664                          5.43                5.40
Vardas667      Pavarde667                          8.17                8.20
Vardas669      Pavarde669                          5.04                5.20
Vardas67       Pavarde67                           7.80                7.80
Vardas670      Pavarde670                          6.87                7.00
Vardas671      Pavarde671                          5.57                5.20
Vardas673      Pavarde673                          6.91                6.80
Vardas674      Pavarde674                          6.31                6.20
Vardas675      Pavarde675                          5.52                5.20
Vardas676      Pavarde676                          4.77                5.20
Vardas677      Pavarde677                          5.81                6.00
Vardas679      Pavarde679                          8.23                8.20
Vardas68       Pavarde68                           7.61                7.40
Vardas680      Pavarde680                          6.85                6.80
Vardas681      Pavarde681                          8.45                8.40
Vardas682      Pavarde682                          5.89                5.60
Vardas683      Pavarde683                          6.63                7.00
Vardas684      Pavarde684                          5.41                5.20
Vardas685      Pavarde685                          7.63                7.20
Vardas686      Pavarde686                          7.99                8.20
Vardas689      Pavarde689                          7.61                7.80
Vardas69       Pavarde69                           5.35                5.40
Vardas690      Pavarde690                          5.79                5.60
Vardas691      Pavarde691                          6.64                6.40
Vardas693      Pavarde693                          6.03                6.00
Vardas694      Pavarde694                          6.99                7.20
Vardas695      Pavarde695                          8.00                8.00
Vardas697      Pavarde697                          5.19                5.00
Vardas698      Pavarde698                          6.44                6.20
Vardas7        Pavarde7                            6.85                6.80
Vardas701      Pavarde701                          5.81                6.40
Vardas702      Pavarde702                          6.63                6.20
Vardas703      Pavarde703                          6.45                6.80
Vardas704      Pavarde704                          6.80                6.80
Vardas705      Pavarde705                          7.04                7.20
Vardas706      Pavarde706                          7.76                8.00
Vardas707      Pavarde707                          6.57                6.60
Vardas708      Pavarde708                          7.88                7.80
Vardas71       Pavarde71                           5.65                5.60
Vardas710      Pavarde710                          7.01                7.20
Vardas711      Pavarde711                          7.87                7.60
Vardas712      Pavarde712                          7.19                6.60
Vardas713      Pavarde713                          7.43                7.40
Vardas714      Pavarde714                          6.47                6.20
Vardas715      Pavarde715                          6.73                7.00
Vardas716      Pavarde716                          6.28                6.60
Vardas717      Pavarde717                          8.40                8.00
Vardas72       Pavarde72                           6.88                6.80
Vardas721      Pavarde721                          7.31                7.20
Vardas723      Pavarde723                          7.69                7.40
Vardas725      Pavarde725                          5.21                5.40
Vardas726      Pavarde726                          6.75                6.40
Vardas732      Pavarde732                          6.91                6.40
Vardas733      Pavarde733                          6.05                6.00
Vardas734      Pavarde734                          5.95                6.00
Vardas735      Pavarde735                          7.67                7.80
Vardas737      Pavarde737                          7.40                7.40
Vardas739      Pavarde739                          8.11                8.00
Vardas74       Pavarde74                           6.69                6.80
Vardas740      Pavarde740                          5.21                5.40
Vardas741      Pavarde741                          6.15                6.20
Vardas742      Pavarde742                          5.49                5.60
Vardas744      Pavarde744                          5.79                6.00
Vardas746      Pavarde746                          7.45                7.40
Vardas747      Pavarde747                          8.21                8.00
Vardas75       Pavarde75                           4.97                5.00
Vardas750      Pavarde750                          8.29                8.80
Vardas751      Pavarde751                          6.88                6.80
Vardas754      Pavarde754                          4.87                5.00
Vardas755      Pavarde755                          5.11                5.00
Vardas756      Pavarde756                          6.67                6.40
Vardas758      Pavarde758                          5.81                5.60
Vardas759      Pavarde759                          7.27                7.40
Vardas760      Pavarde760                          7.48                7.40
Vardas762      Pavarde762                          5.41                5.20
Vardas764      Pavarde764                          6.03                6.00
Vardas765      Pavarde765                          4.97                5.00
Vardas767      Pavarde767                          7.92                7.60
Vardas769      Pavarde769                          7.93                8.20
Vardas770      Pavarde770                          7.44                7.60
Vardas774      Pavarde774                          5.63                5.20
Vardas775      Pavarde775                          8.13                8.00
Vardas777      Pavarde777                          6.73                6.60
Vardas778      Pavarde778                          5.08                5.00
Vardas779      Pavarde779                          7.75                7.40
Vardas783      Pavarde783                          7.57                7.60
Vardas784      Pavarde784                          6.39                6.20
Vardas787      Pavarde787                          6.72                6.40
Vardas788      Pavarde788                          8.24                8.40
Vardas789      Pavarde789                          5.03                5.00
Vardas79       Pavarde79                           7.97                8.00
Vardas793      Pavarde793                          6.56                6.40
Vardas794      Pavarde794                          5.79                5.60
Vardas795      Pavarde795                          7.47                6.80
Vardas796      Pavarde796                          7.61                7.80
Vardas8        Pavarde8                            8.05                8.00
Vardas800      Pavarde800                          6.91                6.80
Vardas803      Pavarde803                          6.73                6.20
Vardas805      Pavarde805                          6.15                5.80
Vardas806      Pavarde806                          7.48                7.40
Vardas807      Pavarde807                          5.68                6.00
Vardas808      Pavarde808                          5.00                5.00
Vardas81       Pavarde81                           8.35                8.80
Vardas811      Pavarde811                          8.29                8.80
Vardas814      Pavarde814                          6.99                7.20
Vardas817      Pavarde817                          6.80                6.40
Vardas818      Pavarde818                          6.36                6.60
Vardas819      Pavarde819                          6.04                6.20
Vardas820      Pavarde820                          6.63                7.00
Vardas821      Pavarde821                          4.75                5.20
Vardas823      Pavarde823                          6.28                5.80
Vardas826      Pavarde826                          5.87                5.60
Vardas827      Pavarde827                          6.44                6.60
Vardas830      Pavarde830                          8.24                8.40
Vardas834      Pavarde834                          6.88                6.80
Vardas836      Pavarde836                          8.37                8.80
Vardas839      Pavarde839                          5.69                5.40
Vardas84       Pavarde84                           5.43                5.40
Vardas840      Pavarde840                          6.93                6.80
Vardas841      Pavarde841                          5.60                5.60
Vardas842      Pavarde842                          6.00                5.20
Vardas844      Pavarde844                          8.16                8.00
Vardas845      Pavarde845                          7.61                7.40
Vardas846      Pavarde846                          7.36                7.60
Vardas849      Pavarde849                          7.35                7.00
Vardas850      Pavarde850                          7.33                7.20
Vardas853      Pavarde853                          7.89                8.00
Vardas855      Pavarde855                          5.61                5.40
Vardas858      Pavarde858                          5.35                5.40
Vardas859      Pavarde859                          4.80                5.20
Vardas86       Pavarde86                           7.09                7.20
Vardas861      Pavarde861                          7.67                7.40
Vardas862      Pavarde862                          6.33                6.20
Vardas864      Pavarde864                          8.64                8.80
Vardas865      Pavarde865                          6.11                6.80
Vardas866      Pavarde866                          5.05                5.00
Vardas869      Pavarde869                          8.03                8.00
Vardas87       Pavarde87                           7.60                8.00
Vardas870      Pavarde870                          8.01                8.20
Vardas871      Pavarde871                          7.84                7.60
Vardas873      Pavarde873                          9.04                9.20
Vardas875      Pavarde875                          4.65                5.40
Vardas877      Pavarde877                          7.65                8.00
Vardas878      Pavarde878                          5.16                5.00
Vardas879      Pavarde879                          5.31                5.20
Vardas880      Pavarde880                          6.81                7.00
Vardas881      Pavarde881                          5.53                5.80
Vardas885      Pavarde885                          5.09                5.20
Vardas886      Pavarde886                          6.68                6.60
Vardas887      Pavarde887                          4.96                5.20
Vardas888      Pavarde888                          5.97                6.40
Vardas891      Pavarde891                          5.92                5.60
Vardas892      Pavarde892                          5.77                5.40
Vardas895      Pavarde895                          5.53                5.40
Vardas896      Pavarde896                          6.67                6.00
Vardas897      Pavarde897                          7.31                7.20
Vardas899      Pavarde899                          7.28                7.60
Vardas90       Pavarde90                           7.80                7.40
Vardas900      Pavarde900                          4.73                5.00
Vardas901      Pavarde901                          8.53                8.40
Vardas902      Pavarde902                          5.53                5.80
Vardas903      Pavarde903                          5.61                5.80
Vardas904      Pavarde904                          8.13                8.00
Vardas905      Pavarde905                          7.04                6.80
Vardas906      Pavarde906                          7.81                8.00
Vardas907      Pavarde907                          5.89                6.00
Vardas908      Pavarde908                          4.91                5.20
Vardas91       Pavarde91                           8.27                8.00
Vardas911      Pavarde911                          6.36                6.20
Vardas912      Pavarde912                          7.31                7.60
Vardas913      Pavarde913                          6.33                6.20
Vardas915      Pavarde915                          7.48                7.40
Vardas916      Pavarde916                          7.44                7.60
Vardas917      Pavarde917                          4.91                5.20
Vardas918      Pavarde918                          7.51                7.40
Vardas919      Pavarde919                          7.51                7.80
Vardas920      Pavarde920                          7.51                7.40
Vardas921      Pavarde921                          7.77                7.80
Vardas922      Pavarde922                          5.21                5.40
Vardas923      Pavarde923                          8.31                8.60
Vardas924      Pavarde924                          6.96                6.80
Vardas925      Pavarde925                          7.65                8.00
Vardas926      Pavarde926                          7.67                8.20
Vardas928      Pavarde928                          5.32                5.00
Vardas931      Pavarde931                          5.68                5.20
Vardas932      Pavarde932                          7.47                7.20
Vardas937      Pavarde937                          6.56                6.40
Vardas939      Pavarde939                          8.11                8.40
Vardas94       Pavarde94                           5.45                5.80
Vardas942      Pavarde942                          7.67                7.40
Vardas943      Pavarde943                          8.05                8.00
Vardas949      Pavarde949                          7.40                7.00
Vardas95       Pavarde95                           5.61                5.80
Vardas950      Pavarde950                          8.48                8.80
Vardas952      Pavarde952                          8.08                8.00
Vardas954      Pavarde954                          6.52                6.20
Vardas955      Pavarde955                          8.19                8.00
Vardas956      Pavarde956                          5.27                5.00
Vardas96       Pavarde96                           7.29                7.00
Vardas960      Pavarde960                          8.00                8.00
Vardas961      Pavarde961                          4.87                5.00
Vardas962      Pavarde962                          7.64                7.40
Vardas963      Pavarde963                          6.68                6.60
Vardas965      Pavarde965                          5.53                5.40
Vardas966      Pavarde966                          6.88                6.80
Vardas967      Pavarde967                          8.03                8.00
Vardas968      Pavarde968                          4.84                5.00
Vardas969      Pavarde969                          7.45                7.40
Vardas970      Pavarde970                          6.45                6.40
Vardas971      Pavarde971                          7.05                7.00
Vardas972      Pavarde972                          5.29                5.80
Vardas974      Pavarde974                          6.28                6.20
Vardas975      Pavarde975                          7.27                7.00
Vardas976      Pavarde976                          5.59                6.20
Vardas977      Pavarde977                          6.08                6.40
Vardas979      Pavarde979                          8.35                8.40
Vardas982      Pavarde982                          5.95                6.00
Vardas983      Pavarde983                          7.81                8.00
Vardas984      Pavarde984                          7.77                7.40
Vardas985      Pavarde985                          6.59                6.40
Vardas986      Pavarde986                          7.39                7.60
Vardas988      Pavarde988                          4.75                5.20
Vardas989      Pavarde989                          5.77                5.40
Vardas99       Pavarde99                           7.43                7.40
Vardas990      Pavarde990                          7.69                8.20
Vardas992      Pavarde992                          6.89                6.60
Vardas993      Pavarde993                          7.61                7.80
Vardas994      Pavarde994                          7.15                7.20
Vardas995      Pavarde995                          7.12                6.80
