Vardas         Pavarde                 Galutinis (Vid.)    Galutinis (Med.)
Vardas1198     Pavarde1198                         7.51                7.40
Vardas1199     Pavarde1199                         6.17                6.60
Vardas12       Pavarde12                           6.16                6.40
Vardas120      Pavarde120                          6.25                6.20
Vardas1201     Pavarde1201                         5.24                5.40
Vardas1202     Pavarde1202                         6.07                6.20
Vardas1203     Pavarde1203                         7.67                7.80
Vardas1204     Pavarde1204                         7.97                8.00
Vardas1205     Pavarde1205                         6.41                6.20
Vardas1206     Pavarde1206                         6.36                5.80
Vardas1209     Pavarde1209                         7.97                8.00
Vardas1210     Pavarde1210                         7.03                7.40
Vardas1211     Pavarde1211                         5.37                5.40
Vardas1212     Pavarde1212                         7.15                6.80
Vardas1214     Pavarde1214                         5.76                5.60
Vardas1215     Pavarde1215                         7.96                8.20
Vardas1216     Pavarde1216                         7.67                7.80
Vardas1217     Pavarde1217                         5.57                5.60
Vardas1219     Pavarde1219                         6.52                6.60
Vardas122      Pavarde122                          5.16                5.00
Vardas1221     Pavarde1221                         6.51                6.40
Vardas1222     Pavarde1222                         5.87                5.60
Vardas1223     Pavarde1223                         7.75                8.20
Vardas1224     Pavarde1224                         5.12                4.40
Vardas1225     Pavarde1225                         6.00                6.00
Vardas1226     Pavarde1226                         5.32                5.40
Vardas123      Pavarde123                          5.08                5.00
Vardas1230     Pavarde1230                         6.95                6.60
Vardas1233     Pavarde1233                         7.73                7.60
Vardas1235     Pavarde1235                         8.91                9.20
Vardas1237     Pavarde1237                         6.99                6.40
Vardas1238     Pavarde1238                         5.37                5.80
Vardas1239     Pavarde1239                         6.36                6.20
Vardas124      Pavarde124                          5.56                5.40
Vardas1244     Pavarde1244                         7.56                7.40
Vardas1246     Pavarde1246                         5.04                5.60
Vardas1247     Pavarde1247                         8.45                8.80
Vardas1249     Pavarde1249                         5.32                5.40
Vardas1250     Pavarde1250                         7.89                7.60
Vardas1252     Pavarde1252                         5.43                5.80
Vardas1253     Pavarde1253                         7.75                8.20
Vardas1254     Pavarde1254                         7.09                6.80
Vardas1255     Pavarde1255                         7.51                7.00
Vardas1257     Pavarde1257                         7.69                7.80
Vardas1258     Pavarde1258                         5.79                6.40
Vardas126      Pavarde126                          6.47                6.60
Vardas1261     Pavarde1261                         7.99                7.80
Vardas1262     Pavarde1262                         6.28                6.20
Vardas1263     Pavarde1263                         8.21                8.00
Vardas1264     Pavarde1264                         6.71                7.00
Vardas1265     Pavarde1265                         6.15                6.20
Vardas1266     Pavarde1266                         5.39                5.20
Vardas1268     Pavarde1268                         8.16                8.00
Vardas1269     Pavarde1269                         7.77                7.80
Vardas1270     Pavarde1270                         7.89                8.00
Vardas1272     Pavarde1272                         7.23                7.60
Vardas1273     Pavarde1273                         7.07                7.20
Vardas1275     Pavarde1275                         6.16                6.40
Vardas1276     Pavarde1276                         6.12                5.80
Vardas1280     Pavarde1280                         6.59                6.40
Vardas1282     Pavarde1282                         7.04                7.20
Vardas1283     Pavarde1283                         7.37                7.40
Vardas1284     Pavarde1284                         8.72                8.80
Vardas1287     Pavarde1287                         6.25                6.20
Vardas129      Pavarde129                          5.61                5.80
Vardas1292     Pavarde1292                         5.95                6.00
Vardas1293     Pavarde1293                         8.40                8.00
Vardas1294     Pavarde1294                         8.59                8.80
Vardas1295     Pavarde1295                         5.55                5.60
Vardas1296     Pavarde1296                         7.05                6.60
Vardas1297     Pavarde1297                         5.87                5.60
Vardas1298     Pavarde1298                         8.03                7.60
Vardas13       Pavarde13                           7.72                8.20
Vardas1301     Pavarde1301                         8.19                8.40
Vardas1302     Pavarde1302                         6.53                6.40
Vardas1303     Pavarde1303                         6.63                6.20
Vardas1304     Pavarde1304                         5.08                5.40
Vardas1305     Pavarde1305                         7.59                7.40
Vardas1307     Pavarde1307                         6.08                6.80
Vardas1308     Pavarde1308                         7.44                7.60
Vardas1309     Pavarde1309                         6.07                5.80
Vardas131      Pavarde131                          7.63                6.80
Vardas1310     Pavarde1310                         5.40                5.40
Vardas1313     Pavarde1313                         6.65                6.60
Vardas1316     Pavarde1316                         6.60                7.00
Vardas1320     Pavarde1320                         5.76                6.00
Vardas1322     Pavarde1322                         7.49                7.60
Vardas1323     Pavarde1323                         7.61                7.80
Vardas1325     Pavarde1325                         6.33                6.20
Vardas1327     Pavarde1327                         8.45                8.40
Vardas1329     Pavarde1329                         7.59                7.40
Vardas133      Pavarde133                          6.11                6.00
Vardas1330     Pavarde1330                         7.59                7.40
Vardas1331     Pavarde1331                         6.88                6.80
Vardas1333     Pavarde1333                         7.85                7.80
Vardas1336     Pavarde1336                         5.21                5.40
Vardas1338     Pavarde1338                         8.83                9.20
Vardas1339     Pavarde1339                         5.97                6.00
Vardas1340     Pavarde1340                         6.65                7.00
Vardas1343     Pavarde1343                         6.05                6.40
Vardas1344     Pavarde1344                         7.51                7.80
Vardas1345     Pavarde1345                         8.51                8.80
Vardas1346     Pavarde1346                         6.12                5.80
Vardas1348     Pavarde1348                         5.13                5.40
Vardas1349     Pavarde1349                         5.05                5.00
Vardas1350     Pavarde1350                         7.53                7.40
Vardas1351     Pavarde1351                         5.24                5.00
Vardas1352     Pavarde1352                         6.25                6.20
Vardas1353     Pavarde1353                         5.72                5.80
Vardas1354     Pavarde1354                         5.08                5.00
Vardas1355     Pavarde1355                         5.48                5.80
Vardas1356     Pavarde1356                         5.40                5.40
Vardas1357     Pavarde1357                         7.01                6.80
Vardas136      Pavarde136                          7.41                7.60
Vardas1360     Pavarde1360                         7.61                7.80
Vardas1361     Pavarde1361                         5.48                5.40
Vardas1363     Pavarde1363                         8.05                7.60
Vardas1365     Pavarde1365                         5.41                5.20
Vardas1368     Pavarde1368                         7.41                8.00
Vardas1369     Pavarde1369                         5.00                5.00
Vardas1373     Pavarde1373                         5.55                5.60
Vardas1374     Pavarde1374                         6.93                7.20
Vardas1377     Pavarde1377                         7.53                7.40
Vardas1379     Pavarde1379                         7.35                7.00
Vardas1380     Pavarde1380                         5.73                6.00
Vardas1381     Pavarde1381                         8.40                9.20
Vardas1382     Pavarde1382                         8.08                8.00
Vardas1384     Pavarde1384                         5.19                4.60
Vardas1385     Pavarde1385                         6.83                6.80
Vardas1387     Pavarde1387                         6.28                6.20
Vardas1389     Pavarde1389                         6.12                5.80
Vardas1391     Pavarde1391                         5.49                5.60
Vardas1392     Pavarde1392                         5.13                5.40
Vardas1394     Pavarde1394                         8.16                8.40
Vardas1395     Pavarde1395                         5.44                5.20
Vardas1396     Pavarde1396                         7.87                7.60
Vardas1398     Pavarde1398                         7.99                7.80
Vardas14       Pavarde14                           6.63                7.00
Vardas1400     Pavarde1400                         5.01                5.20
Vardas1402     Pavarde1402                         7.35                6.60
Vardas1403     Pavarde1403                         8.29                8.40
Vardas1406     Pavarde1406                         7.04                6.80
Vardas1409     Pavarde1409                         6.21                6.40
Vardas1411     Pavarde1411                         6.20                5.80
Vardas1413     Pavarde1413                         7.43                7.40
Vardas1414     Pavarde1414                         5.76                6.00
Vardas1415     Pavarde1415                         6.88                7.20
Vardas1417     Pavarde1417                         7.56                7.80
Vardas1418     Pavarde1418                         5.00                5.00
Vardas1419     Pavarde1419                         7.45                7.40
Vardas142      Pavarde142                          7.19                6.60
Vardas1423     Pavarde1423                         6.48                6.00
Vardas1426     Pavarde1426                         8.27                8.40
Vardas1427     Pavarde1427                         7.31                7.60
Vardas1429     Pavarde1429                         6.15                6.60
Vardas1430     Pavarde1430                         6.04                6.20
Vardas1431     Pavarde1431                         5.92                5.60
Vardas1432     Pavarde1432                         5.13                5.00
Vardas1437     Pavarde1437                         6.75                6.40
Vardas1438     Pavarde1438                         8.96                9.20
Vardas1439     Pavarde1439                         7.01                6.80
Vardas144      Pavarde144                          5.11                5.00
Vardas1440     Pavarde1440                         7.48                7.40
Vardas1442     Pavarde1442                         5.84                6.00
Vardas1443     Pavarde1443                         5.00                5.00
Vardas1444     Pavarde1444                         5.08                5.00
Vardas1446     Pavarde1446                         6.31                6.20
Vardas1447     Pavarde1447                         8.51                8.80
Vardas1448     Pavarde1448                         5.65                6.00
Vardas1449     Pavarde1449                         8.19                8.00
Vardas1450     Pavarde1450                         6.03                6.00
Vardas1451     Pavarde1451                         5.16                5.00
Vardas1452     Pavarde1452                         7.88                8.20
Vardas1453     Pavarde1453                         5.65                5.60
Vardas1454     Pavarde1454                         6.24                6.00
Vardas1455     Pavarde1455                         7.87                8.00
Vardas1458     Pavarde1458                         6.21                6.40
Vardas1459     Pavarde1459                         6.60                6.20
Vardas1460     Pavarde1460                         5.09                5.60
Vardas1461     Pavarde1461                         8.29                8.40
Vardas1463     Pavarde1463                         7.81                7.60
Vardas1464     Pavarde1464                         7.12                7.20
Vardas1465     Pavarde1465                         6.47                6.60
Vardas1466     Pavarde1466                         6.00                6.00
Vardas1468     Pavarde1468                         6.65                6.60
Vardas1469     Pavarde1469                         6.92                7.00
Vardas1470     Pavarde1470                         5.75                5.80
Vardas1471     Pavarde1471                         7.20                7.60
Vardas1474     Pavarde1474                         6.39                6.60
Vardas1475     Pavarde1475                         5.73                5.60
Vardas1477     Pavarde1477                         7.11                7.40
Vardas1479     Pavarde1479                         8.43                8.80
Vardas148      Pavarde148                          5.57                5.60
Vardas1482     Pavarde1482                         8.77                9.20
Vardas1483     Pavarde1483                         6.21                6.80
Vardas1484     Pavarde1484                         8.24                8.80
Vardas1486     Pavarde1486                         7.76                7.20
Vardas1487     Pavarde1487                         8.48                8.80
Vardas1488     Pavarde1488                         7.72                8.20
Vardas1489     Pavarde1489                         6.15                6.20
Vardas1490     Pavarde1490                         5.45                5.40
Vardas1491     Pavarde1491                         7.80                8.20
Vardas1492     Pavarde1492                         8.27                8.80
Vardas1495     Pavarde1495                         5.97                5.60
Vardas1497     Pavarde1497                         6.03                6.40
Vardas15       Pavarde15                           8.80                8.80
Vardas1501     Pavarde1501                         5.71                6.00
Vardas1504     Pavarde1504                         7.53                7.40
Vardas1506     Pavarde1506                         6.97                7.40
Vardas1509     Pavarde1509                         7.15                7.60
Vardas1510     Pavarde1510                         6.49                6.20
Vardas1513     Pavarde1513                         5.43                5.80
Vardas1515     Pavarde1515                         7.20                7.20
Vardas1516     Pavarde1516                         5.71                5.60
Vardas1517     Pavarde1517                         6.08                6.40
Vardas1518     Pavarde1518                         7.52                8.00
Vardas152      Pavarde152                          6.37                6.80
Vardas1520     Pavarde1520                         6.93                6.80
Vardas1522     Pavarde1522                         6.23                6.20
Vardas1523     Pavarde1523                         6.17                5.80
Vardas1524     Pavarde1524                         5.00                5.40
Vardas1526     Pavarde1526                         7.95                7.60
Vardas153      Pavarde153                          5.81                6.00
Vardas1530     Pavarde1530                         6.65                6.60
Vardas1532     Pavarde1532                         8.19                8.40
Vardas1533     Pavarde1533                         6.15                5.80
Vardas1537     Pavarde1537                         7.67                8.20
Vardas1538     Pavarde1538                         5.43                5.80
Vardas1543     Pavarde1543                         5.65                5.60
Vardas1545     Pavarde1545                         5.97                6.00
Vardas1548     Pavarde1548                         5.56                5.80
Vardas1549     Pavarde1549                         5.59                5.80
Vardas155      Pavarde155                          6.39                6.20
Vardas1552     Pavarde1552                         6.91                6.40
Vardas1554     Pavarde1554                         5.75                5.80
Vardas1556     Pavarde1556                         5.61                6.20
Vardas1558     Pavarde1558                         7.45                7.40
Vardas156      Pavarde156                          7.40                7.40
Vardas1560     Pavarde1560                         6.64                6.00
Vardas1562     Pavarde1562                         7.19                7.00
Vardas1563     Pavarde1563                         6.92                7.40
Vardas1565     Pavarde1565                         7.60                8.00
Vardas1566     Pavarde1566                         6.85                6.80
Vardas1567     Pavarde1567                         5.24                5.00
Vardas157      Pavarde157                          5.00                5.00
Vardas1572     Pavarde1572                         7.52                8.00
Vardas1573     Pavarde1573                         8.25                8.60
Vardas1575     Pavarde1575                         5.44                5.20
Vardas1577     Pavarde1577                         6.68                7.00
Vardas1578     Pavarde1578                         6.41                6.20
Vardas158      Pavarde158                          8.72                9.20
Vardas1580     Pavarde1580                         7.13                7.00
Vardas1582     Pavarde1582                         6.71                7.00
Vardas1583     Pavarde1583                         7.21                7.00
Vardas1584     Pavarde1584                         7.56                7.40
Vardas1585     Pavarde1585                         5.75                5.40
Vardas1589     Pavarde1589                         7.01                7.20
Vardas159      Pavarde159                          6.60                6.60
Vardas1590     Pavarde1590                         6.44                6.60
Vardas1593     Pavarde1593                         5.11                5.40
Vardas1598     Pavarde1598                         6.03                6.00
Vardas1600     Pavarde1600                         5.73                5.60
Vardas1602     Pavarde1602                         6.77                6.80
Vardas1603     Pavarde1603                         5.81                6.00
Vardas1605     Pavarde1605                         8.13                8.40
Vardas1608     Pavarde1608                         7.07                7.20
Vardas1609     Pavarde1609                         6.96                6.80
Vardas1610     Pavarde1610                         5.73                5.20
Vardas1612     Pavarde1612                         6.69                6.80
Vardas1614     Pavarde1614                         7.37                7.40
Vardas1615     Pavarde1615                         6.23                5.80
Vardas1616     Pavarde1616                         7.95                8.00
Vardas1617     Pavarde1617                         7.12                6.80
Vardas1618     Pavarde1618                         8.40                8.40
Vardas162      Pavarde162                          6.55                6.60
Vardas1620     Pavarde1620                         7.69                7.80
Vardas1621     Pavarde1621                         5.00                4.60
Vardas1622     Pavarde1622                         6.11                6.00
Vardas1623     Pavarde1623                         6.52                6.60
Vardas1626     Pavarde1626                         7.31                8.00
Vardas1628     Pavarde1628                         5.57                5.60
Vardas1629     Pavarde1629                         5.32                5.00
Vardas163      Pavarde163                          7.09                6.80
Vardas1630     Pavarde1630                         5.45                5.80
Vardas1632     Pavarde1632                         6.39                6.20
Vardas1635     Pavarde1635                         6.24                6.80
Vardas1638     Pavarde1638                         5.24                5.40
Vardas1639     Pavarde1639                         5.13                5.00
Vardas164      Pavarde164                          5.76                5.60
Vardas1641     Pavarde1641                         7.45                7.00
Vardas1642     Pavarde1642                         6.32                6.00
Vardas1643     Pavarde1643                         6.64                6.40
Vardas1646     Pavarde1646                         6.53                6.00
Vardas1649     Pavarde1649                         5.29                5.40
Vardas1650     Pavarde1650                         7.80                7.40
Vardas1651     Pavarde1651                         5.29                5.40
Vardas1656     Pavarde1656                         5.92                6.40
Vardas1658     Pavarde1658                         6.67                6.80
Vardas166      Pavarde166                          7.04                7.60
Vardas1661     Pavarde1661                         8.21                8.00
Vardas1662     Pavarde1662                         6.44                6.60
Vardas1663     Pavarde1663                         6.39                6.20
Vardas1665     Pavarde1665                         7.77                7.80
Vardas1666     Pavarde1666                         7.51                7.40
Vardas1667     Pavarde1667                         6.35                6.00
Vardas1668     Pavarde1668                         8.61                8.80
Vardas1671     Pavarde1671                         5.19                5.00
Vardas1672     Pavarde1672                         6.39                6.60
Vardas1673     Pavarde1673                         6.91                7.20
Vardas1674     Pavarde1674                         8.03                8.00
Vardas1676     Pavarde1676                         7.43                7.80
Vardas1677     Pavarde1677                         5.16                5.00
Vardas1678     Pavarde1678                         5.87                5.60
Vardas1680     Pavarde1680                         6.09                6.20
Vardas1687     Pavarde1687                         8.04                8.20
Vardas169      Pavarde169                          8.15                8.60
Vardas1690     Pavarde1690                         5.12                4.80
Vardas1692     Pavarde1692                         5.81                6.00
Vardas1693     Pavarde1693                         6.07                6.20
Vardas1695     Pavarde1695                         6.60                6.60
Vardas1696     Pavarde1696                         5.41                5.20
Vardas170      Pavarde170                          5.91                6.20
Vardas1702     Pavarde1702                         5.73                5.60
Vardas1704     Pavarde1704                         7.77                7.40
Vardas1705     Pavarde1705                         7.32                7.40
Vardas1707     Pavarde1707                         6.33                6.20
Vardas1709     Pavarde1709                         6.71                6.60
Vardas171      Pavarde171                          8.27                8.40
Vardas1710     Pavarde1710                         7.88                8.20
Vardas1714     Pavarde1714                         8.07                8.20
Vardas1715     Pavarde1715                         5.01                5.20
Vardas1716     Pavarde1716                         8.23                8.20
Vardas1717     Pavarde1717                         5.80                5.40
Vardas1719     Pavarde1719                         6.04                5.80
Vardas172      Pavarde172                          5.60                5.60
Vardas1722     Pavarde1722                         6.12                5.80
Vardas1723     Pavarde1723                         5.41                5.60
Vardas1724     Pavarde1724                         7.17                7.20
Vardas1726     Pavarde1726                         6.85                6.80
Vardas1728     Pavarde1728                         5.48                5.80
Vardas173      Pavarde173                          6.72                6.80
Vardas1730     Pavarde1730                         5.03                5.00
Vardas1731     Pavarde1731                         5.00                5.00
Vardas1733     Pavarde1733                         6.80                6.80
Vardas1736     Pavarde1736                         8.27                8.00
Vardas1737     Pavarde1737                         7.81                7.60
Vardas1738     Pavarde1738                         6.09                5.80
Vardas1739     Pavarde1739                         7.96                7.80
Vardas174      Pavarde174                          5.16                5.00
Vardas1744     Pavarde1744                         5.68                5.60
Vardas1745     Pavarde1745                         5.41                5.20
Vardas1746     Pavarde1746                         6.80                6.80
Vardas1749     Pavarde1749                         6.85                6.40
Vardas1751     Pavarde1751                         6.47                6.60
Vardas1752     Pavarde1752                         5.13                5.00
Vardas1754     Pavarde1754                         6.52                6.20
Vardas1755     Pavarde1755                         8.35                8.40
Vardas1758     Pavarde1758                         7.25                7.20
Vardas1759     Pavarde1759                         8.35                8.00
Vardas176      Pavarde176                          7.37                7.40
Vardas1760     Pavarde1760                         8.29                8.00
Vardas1762     Pavarde1762                         5.57                5.20
Vardas1763     Pavarde1763                         7.67                7.40
Vardas1765     Pavarde1765                         7.33                7.60
Vardas1766     Pavarde1766                         6.77                6.40
Vardas1768     Pavarde1768                         6.15                5.80
Vardas177      Pavarde177                          7.40                7.40
Vardas1771     Pavarde1771                         6.17                5.80
Vardas1773     Pavarde1773                         6.09                5.40
Vardas1775     Pavarde1775                         5.76                6.00
Vardas178      Pavarde178                          6.61                6.40
Vardas1781     Pavarde1781                         6.28                6.20
Vardas1783     Pavarde1783                         7.72                7.80
Vardas1785     Pavarde1785                         6.69                6.40
Vardas1788     Pavarde1788                         5.92                6.00
Vardas179      Pavarde179                          6.33                6.60
Vardas1790     Pavarde1790                         7.77                7.80
Vardas1792     Pavarde1792                         7.97                7.60
Vardas1793     Pavarde1793                         7.17                7.60
Vardas1794     Pavarde1794                         5.55                5.20
Vardas1796     Pavarde1796                         8.48                8.40
Vardas1799     Pavarde1799                         7.93                7.80
Vardas1800     Pavarde1800                         5.45                5.00
Vardas1803     Pavarde1803                         5.37                5.40
Vardas1804     Pavarde1804                         7.09                7.60
Vardas1805     Pavarde1805                         5.07                5.20
Vardas1806     Pavarde1806                         8.19                8.40
Vardas1807     Pavarde1807                         6.93                6.80
Vardas1808     Pavarde1808                         6.67                6.80
Vardas1809     Pavarde1809                         8.51                8.40
Vardas181      Pavarde181                          6.83                6.40
Vardas1817     Pavarde1817                         6.33                6.60
Vardas1818     Pavarde1818                         5.73                5.60
Vardas1820     Pavarde1820                         5.36                5.20
Vardas1823     Pavarde1823                         8.11                8.40
Vardas1824     Pavarde1824                         5.43                5.40
Vardas1826     Pavarde1826                         5.69                5.80
Vardas1827     Pavarde1827                         6.20                6.60
Vardas1828     Pavarde1828                         7.61                7.80
Vardas1829     Pavarde1829                         6.91                6.80
Vardas183      Pavarde183                          7.83                7.40
Vardas1830     Pavarde1830                         7.48                7.40
Vardas1832     Pavarde1832                         7.81                7.20
Vardas1834     Pavarde1834                         8.05                8.00
Vardas1835     Pavarde1835                         6.12                6.20
Vardas1836     Pavarde1836                         7.09                7.20
Vardas1837     Pavarde1837                         7.19                6.60
Vardas1838     Pavarde1838                         5.47                5.20
Vardas1840     Pavarde1840                         5.25                5.20
Vardas1843     Pavarde1843                         5.63                5.60
Vardas1844     Pavarde1844                         5.29                5.80
Vardas1847     Pavarde1847                         6.49                6.60
Vardas1848     Pavarde1848                         5.51                5.80
Vardas1849     Pavarde1849                         8.21                8.00
Vardas1851     Pavarde1851                         8.37                8.40
Vardas1852     Pavarde1852                         7.67                7.40
Vardas1853     Pavarde1853                         5.35                5.40
Vardas1855     Pavarde1855                         7.87                7.60
Vardas1856     Pavarde1856                         7.36                7.20
Vardas1857     Pavarde1857                         8.08                8.00
Vardas186      Pavarde186                          6.47                6.60
Vardas1861     Pavarde1861                         6.57                6.60
Vardas1862     Pavarde1862                         7.53                7.00
Vardas1868     Pavarde1868                         5.05                5.00
Vardas1869     Pavarde1869                         8.05                8.00
Vardas187      Pavarde187                          7.96                7.80
Vardas1870     Pavarde1870                         7.07                7.20
Vardas1872     Pavarde1872                         5.53                5.40
Vardas1873     Pavarde1873                         5.51                5.40
Vardas1874     Pavarde1874                         7.29                7.00
Vardas1875     Pavarde1875                         5.31                5.60
Vardas1876     Pavarde1876                         6.96                7.20
Vardas1877     Pavarde1877                         6.97                7.00
Vardas1881     Pavarde1881                         8.32                8.40
Vardas1882     Pavarde1882                         7.75                7.80
Vardas1883     Pavarde1883                         5.97                6.00
Vardas1885     Pavarde1885                         6.96                6.40
Vardas1887     Pavarde1887                         6.16                6.40
Vardas1889     Pavarde1889                         7.11                7.00
Vardas189      Pavarde189                          6.85                6.40
Vardas1891     Pavarde1891                         6.49                6.60
Vardas1892     Pavarde1892                         6.27                6.40
Vardas1893     Pavarde1893                         8.08                8.80
Vardas1895     Pavarde1895                         8.08                8.00
Vardas1896     Pavarde1896                         5.29                5.40
Vardas19       Pavarde19                           6.36                6.20
Vardas190      Pavarde190                          7.07                7.60
Vardas1901     Pavarde1901                         6.97                7.40
Vardas1902     Pavarde1902                         7.83                7.40
Vardas1905     Pavarde1905                         8.43                8.80
Vardas1907     Pavarde1907                         7.15                6.80
Vardas1908     Pavarde1908                         5.55                5.60
Vardas191      Pavarde191                          6.25                5.80
Vardas1913     Pavarde1913                         5.27                5.00
Vardas1915     Pavarde1915                         7.28                7.20
Vardas1918     Pavarde1918                         7.65                8.00
Vardas1919     Pavarde1919                         5.87                6.00
Vardas1920     Pavarde1920                         6.33                6.60
Vardas1921     Pavarde1921                         5.04                5.20
Vardas1922     Pavarde1922                         5.95                6.00
Vardas1925     Pavarde1925                         6.57                7.00
Vardas1928     Pavarde1928                         6.05                6.00
Vardas1930     Pavarde1930                         6.47                6.60
Vardas1932     Pavarde1932                         6.56                6.40
Vardas1934     Pavarde1934                         6.41                6.20
