Vardas         Pavarde                 Galutinis (Vid.)    Galutinis (Med.)
Vardas1393     Pavarde1393                         3.15                3.20
Vardas1397     Pavarde1397                         3.60                3.60
Vardas1399     Pavarde1399                         4.53                4.40
Vardas140      Pavarde140                          4.28                4.20
Vardas1401     Pavarde1401                         3.19                3.40
Vardas1404     Pavarde1404                         3.55                3.60
Vardas1405     Pavarde1405                         2.47                2.20
Vardas1407     Pavarde1407                         4.85                5.20
Vardas1408     Pavarde1408                         4.04                4.20
Vardas141      Pavarde141                          2.73                2.60
Vardas1410     Pavarde1410                         4.91                5.20
Vardas1412     Pavarde1412                         2.55                2.20
Vardas1416     Pavarde1416                         3.44                4.00
Vardas1420     Pavarde1420                         4.85                4.80
Vardas1421     Pavarde1421                         3.49                3.60
Vardas1422     Pavarde1422                         4.87                4.60
Vardas1424     Pavarde1424                         3.12                3.60
Vardas1425     Pavarde1425                         2.07                1.80
Vardas1428     Pavarde1428                         4.01                3.40
Vardas143      Pavarde143                          4.25                4.60
Vardas1433     Pavarde1433                         3.55                3.60
Vardas1434     Pavarde1434                         4.48                4.40
Vardas1435     Pavarde1435                         2.80                2.40
Vardas1436     Pavarde1436                         3.00                3.40
Vardas1441     Pavarde1441                         3.43                3.80
Vardas1445     Pavarde1445                         3.65                4.00
Vardas145      Pavarde145                          2.96                2.80
Vardas1456     Pavarde1456                         2.71                3.00
Vardas1457     Pavarde1457                         3.71                4.00
Vardas146      Pavarde146                          2.79                2.60
Vardas1462     Pavarde1462                         4.64                4.40
Vardas1467     Pavarde1467                         4.76                4.60
Vardas147      Pavarde147                          2.84                2.60
Vardas1472     Pavarde1472                         3.17                3.20
Vardas1473     Pavarde1473                         4.01                4.20
Vardas1476     Pavarde1476                         3.41                2.80
Vardas1478     Pavarde1478                         4.33                4.60
Vardas1480     Pavarde1480                         2.60                2.20
Vardas1481     Pavarde1481                         3.67                3.80
Vardas1485     Pavarde1485                         3.32                3.00
Vardas149      Pavarde149                          2.76                3.00
Vardas1493     Pavarde1493                         2.33                2.20
Vardas1494     Pavarde1494                         3.25                3.60
Vardas1496     Pavarde1496                         4.51                4.40
Vardas1498     Pavarde1498                         4.69                5.20
Vardas1499     Pavarde1499                         4.65                4.60
Vardas150      Pavarde150                          2.73                2.60
Vardas1500     Pavarde1500                         4.35                4.00
Vardas1502     Pavarde1502                         4.68                3.80
Vardas1503     Pavarde1503                         4.44                4.60
Vardas1505     Pavarde1505                         3.57                3.60
Vardas1507     Pavarde1507                         4.45                4.80
Vardas1508     Pavarde1508                         3.55                4.00
Vardas151      Pavarde151                          4.21                4.40
Vardas1511     Pavarde1511                         4.88                4.80
Vardas1512     Pavarde1512                         4.08                4.00
Vardas1514     Pavarde1514                         4.72                5.20
Vardas1519     Pavarde1519                         2.39                2.20
Vardas1521     Pavarde1521                         4.72                5.20
Vardas1525     Pavarde1525                         3.55                3.60
Vardas1527     Pavarde1527                         4.35                4.00
Vardas1528     Pavarde1528                         3.88                3.40
Vardas1529     Pavarde1529                         2.79                2.60
Vardas1531     Pavarde1531                         3.85                3.80
Vardas1534     Pavarde1534                         4.43                4.40
Vardas1535     Pavarde1535                         3.00                3.80
Vardas1536     Pavarde1536                         3.16                3.40
Vardas1539     Pavarde1539                         4.32                4.00
Vardas154      Pavarde154                          3.56                3.40
Vardas1540     Pavarde1540                         3.77                3.40
Vardas1541     Pavarde1541                         3.15                3.20
Vardas1542     Pavarde1542                         3.36                3.60
Vardas1544     Pavarde1544                         3.09                3.20
Vardas1546     Pavarde1546                         2.92                3.00
Vardas1547     Pavarde1547                         4.16                4.00
Vardas1550     Pavarde1550                         4.28                3.80
Vardas1551     Pavarde1551                         3.05                3.40
Vardas1553     Pavarde1553                         4.01                4.20
Vardas1555     Pavarde1555                         2.97                2.60
Vardas1557     Pavarde1557                         3.00                3.00
Vardas1559     Pavarde1559                         3.36                3.20
Vardas1561     Pavarde1561                         2.93                3.60
Vardas1564     Pavarde1564                         4.79                4.60
Vardas1568     Pavarde1568                         3.97                4.00
Vardas1569     Pavarde1569                         3.39                3.20
Vardas1570     Pavarde1570                         3.23                3.20
Vardas1571     Pavarde1571                         4.61                4.40
Vardas1574     Pavarde1574                         4.67                4.40
Vardas1576     Pavarde1576                         3.13                3.40
Vardas1579     Pavarde1579                         3.63                4.40
Vardas1581     Pavarde1581                         3.01                2.80
Vardas1586     Pavarde1586                         4.67                4.80
Vardas1587     Pavarde1587                         2.65                3.00
Vardas1588     Pavarde1588                         4.08                4.00
Vardas1591     Pavarde1591                         4.64                4.80
Vardas1592     Pavarde1592                         4.43                4.40
Vardas1594     Pavarde1594                         4.95                4.60
Vardas1595     Pavarde1595                         2.65                2.20
Vardas1596     Pavarde1596                         3.41                4.00
Vardas1597     Pavarde1597                         3.36                3.20
Vardas1599     Pavarde1599                         2.33                1.80
Vardas16       Pavarde16                           4.48                4.40
Vardas160      Pavarde160                          4.37                3.60
Vardas1601     Pavarde1601                         4.41                5.00
Vardas1604     Pavarde1604                         3.33                3.20
Vardas1606     Pavarde1606                         3.20                2.80
Vardas1607     Pavarde1607                         3.76                4.00
Vardas161      Pavarde161                          4.64                4.80
Vardas1611     Pavarde1611                         4.96                4.80
Vardas1613     Pavarde1613                         3.85                4.60
Vardas1619     Pavarde1619                         4.95                4.60
Vardas1624     Pavarde1624                         3.53                3.40
Vardas1625     Pavarde1625                         4.96                4.40
Vardas1627     Pavarde1627                         3.67                3.80
Vardas1631     Pavarde1631                         3.48                3.00
Vardas1633     Pavarde1633                         2.99                2.80
Vardas1634     Pavarde1634                         4.51                4.00
Vardas1636     Pavarde1636                         2.95                3.40
Vardas1637     Pavarde1637                         3.77                3.80
Vardas1640     Pavarde1640                         4.69                4.80
Vardas1644     Pavarde1644                         4.17                4.60
Vardas1645     Pavarde1645                         3.41                3.60
Vardas1647     Pavarde1647                         3.72                3.40
Vardas1648     Pavarde1648                         2.85                2.80
Vardas165      Pavarde165                          3.91                3.80
Vardas1652     Pavarde1652                         2.97                2.60
Vardas1653     Pavarde1653                         2.68                2.60
Vardas1654     Pavarde1654                         4.43                4.00
Vardas1655     Pavarde1655                         2.71                2.60
Vardas1657     Pavarde1657                         3.17                2.80
Vardas1659     Pavarde1659                         3.64                3.80
Vardas1660     Pavarde1660                         2.87                2.60
Vardas1664     Pavarde1664                         4.59                4.40
Vardas1669     Pavarde1669                         3.25                3.20
Vardas167      Pavarde167                          4.84                4.60
Vardas1670     Pavarde1670                         3.59                3.80
Vardas1675     Pavarde1675                         4.53                4.00
Vardas1679     Pavarde1679                         2.44                2.20
Vardas168      Pavarde168                          2.63                2.20
Vardas1681     Pavarde1681                         3.49                3.60
Vardas1682     Pavarde1682                         3.48                3.40
Vardas1683     Pavarde1683                         2.79                2.20
Vardas1684     Pavarde1684                         3.33                3.20
Vardas1685     Pavarde1685                         3.84                3.60
Vardas1686     Pavarde1686                         4.37                4.40
Vardas1688     Pavarde1688                         3.04                2.80
Vardas1689     Pavarde1689                         2.63                2.60
Vardas1691     Pavarde1691                         2.39                2.60
Vardas1694     Pavarde1694                         2.47                2.20
Vardas1697     Pavarde1697                         4.20                3.80
Vardas1698     Pavarde1698                         4.01                3.80
Vardas1699     Pavarde1699                         4.07                4.20
Vardas17       Pavarde17                           3.24                3.40
Vardas1700     Pavarde1700                         3.52                3.60
Vardas1701     Pavarde1701                         4.49                4.60
Vardas1703     Pavarde1703                         3.00                3.40
Vardas1706     Pavarde1706                         3.93                3.40
Vardas1708     Pavarde1708                         3.95                4.00
Vardas1711     Pavarde1711                         4.81                5.00
Vardas1712     Pavarde1712                         3.28                3.20
Vardas1713     Pavarde1713                         3.27                2.60
Vardas1718     Pavarde1718                         3.93                4.20
Vardas1720     Pavarde1720                         3.77                3.40
Vardas1721     Pavarde1721                         4.27                4.40
Vardas1725     Pavarde1725                         4.43                4.40
Vardas1727     Pavarde1727                         2.79                2.60
Vardas1729     Pavarde1729                         4.53                4.80
Vardas1732     Pavarde1732                         4.44                4.20
Vardas1734     Pavarde1734                         4.51                4.40
Vardas1735     Pavarde1735                         3.96                4.20
Vardas1740     Pavarde1740                         3.00                3.00
Vardas1741     Pavarde1741                         4.75                4.40
Vardas1742     Pavarde1742                         2.60                2.60
Vardas1743     Pavarde1743                         3.36                3.20
Vardas1747     Pavarde1747                         3.49                3.60
Vardas1748     Pavarde1748                         2.89                3.00
Vardas175      Pavarde175                          4.57                5.00
Vardas1750     Pavarde1750                         3.80                3.80
Vardas1753     Pavarde1753                         3.64                3.00
Vardas1756     Pavarde1756                         2.71                3.00
Vardas1757     Pavarde1757                         2.95                3.00
Vardas1761     Pavarde1761                         2.60                2.20
Vardas1764     Pavarde1764                         3.17                3.60
Vardas1767     Pavarde1767                         4.41                4.60
Vardas1769     Pavarde1769                         3.63                3.60
Vardas1770     Pavarde1770                         4.97                4.60
Vardas1772     Pavarde1772                         2.25                1.80
Vardas1774     Pavarde1774                         4.25                4.20
Vardas1776     Pavarde1776                         2.87                2.60
Vardas1777     Pavarde1777                         4.23                4.20
Vardas1778     Pavarde1778                         3.39                4.00
Vardas1779     Pavarde1779                         4.13                4.00
Vardas1780     Pavarde1780                         3.39                3.60
Vardas1782     Pavarde1782                         3.69                3.40
Vardas1784     Pavarde1784                         3.39                3.20
Vardas1786     Pavarde1786                         4.00                4.40
Vardas1787     Pavarde1787                         3.68                4.00
Vardas1789     Pavarde1789                         3.04                2.80
Vardas1791     Pavarde1791                         3.39                3.20
Vardas1795     Pavarde1795                         4.55                4.60
Vardas1797     Pavarde1797                         2.39                2.20
Vardas1798     Pavarde1798                         4.68                4.20
Vardas18       Pavarde18                           3.04                3.20
Vardas180      Pavarde180                          3.28                3.60
Vardas1801     Pavarde1801                         2.31                2.20
Vardas1802     Pavarde1802                         3.12                3.20
Vardas1810     Pavarde1810                         3.49                3.60
Vardas1811     Pavarde1811                         3.28                2.80
Vardas1812     Pavarde1812                         3.05                3.00
Vardas1813     Pavarde1813                         4.48                4.80
Vardas1814     Pavarde1814                         3.57                4.00
Vardas1815     Pavarde1815                         2.57                2.60
Vardas1816     Pavarde1816                         2.81                3.00
Vardas1819     Pavarde1819                         3.60                3.20
Vardas182      Pavarde182                          3.27                3.40
Vardas1821     Pavarde1821                         3.36                3.60
Vardas1822     Pavarde1822                         4.84                4.60
Vardas1825     Pavarde1825                         2.97                3.80
Vardas1831     Pavarde1831                         2.47                2.20
Vardas1833     Pavarde1833                         3.33                3.20
Vardas1839     Pavarde1839                         3.25                2.80
Vardas184      Pavarde184                          4.43                4.00
Vardas1841     Pavarde1841                         3.25                2.40
Vardas1842     Pavarde1842                         3.88                3.80
Vardas1845     Pavarde1845                         2.76                3.00
Vardas1846     Pavarde1846                         3.25                3.20
Vardas185      Pavarde185                          4.95                5.00
Vardas1850     Pavarde1850                         4.59                4.40
Vardas1854     Pavarde1854                         4.23                4.60
Vardas1858     Pavarde1858                         3.61                3.80
Vardas1859     Pavarde1859                         4.25                4.60
Vardas1860     Pavarde1860                         2.63                2.20
Vardas1863     Pavarde1863                         3.87                4.40
Vardas1864     Pavarde1864                         3.61                3.40
Vardas1865     Pavarde1865                         3.24                3.00
Vardas1866     Pavarde1866                         2.87                3.40
Vardas1867     Pavarde1867                         4.39                4.60
Vardas1871     Pavarde1871                         4.13                4.40
Vardas1878     Pavarde1878                         3.69                3.00
Vardas1879     Pavarde1879                         4.75                5.20
Vardas188      Pavarde188                          3.15                3.20
Vardas1880     Pavarde1880                         3.41                3.20
Vardas1884     Pavarde1884                         2.63                3.00
Vardas1886     Pavarde1886                         4.61                4.40
Vardas1888     Pavarde1888                         4.64                4.40
Vardas1890     Pavarde1890                         3.24                3.40
Vardas1894     Pavarde1894                         3.92                4.00
Vardas1897     Pavarde1897                         3.33                3.20
Vardas1898     Pavarde1898                         3.88                3.40
Vardas1899     Pavarde1899                         2.15                1.80
Vardas1900     Pavarde1900                         4.53                4.40
Vardas1903     Pavarde1903                         4.99                5.20
Vardas1904     Pavarde1904                         3.93                4.20
Vardas1906     Pavarde1906                         2.71                2.60
Vardas1909     Pavarde1909                         3.52                3.60
Vardas1910     Pavarde1910                         3.88                3.40
Vardas1911     Pavarde1911                         4.80                5.20
Vardas1912     Pavarde1912                         2.25                1.80
Vardas1914     Pavarde1914                         2.52                2.20
Vardas1916     Pavarde1916                         3.47                4.00
Vardas1917     Pavarde1917                         2.52                2.20
Vardas192      Pavarde192                          3.72                3.40
Vardas1923     Pavarde1923                         4.47                4.60
Vardas1924     Pavarde1924                         3.53                3.40
Vardas1926     Pavarde1926                         3.31                3.20
Vardas1927     Pavarde1927                         3.23                2.80
Vardas1929     Pavarde1929                         2.41                2.20
Vardas193      Pavarde193                          2.73                2.60
Vardas1931     Pavarde1931                         4.01                4.60
Vardas1933     Pavarde1933                         3.61                3.80
Vardas1935     Pavarde1935                         4.21                4.00
Vardas1936     Pavarde1936                         4.40                4.40
Vardas1938     Pavarde1938                         4.53                4.00
Vardas1940     Pavarde1940                         3.75                3.80
Vardas1943     Pavarde1943                         4.69                4.40
Vardas1944     Pavarde1944                         3.69                3.40
Vardas1945     Pavarde1945                         2.83                2.80
Vardas1947     Pavarde1947                         3.29                3.80
Vardas1948     Pavarde1948                         4.20                3.80
Vardas1950     Pavarde1950                         4.96                5.20
Vardas1954     Pavarde1954                         3.81                4.00
Vardas1955     Pavarde1955                         3.44                3.20
Vardas1956     Pavarde1956                         2.36                1.80
Vardas1959     Pavarde1959                         3.44                3.20
Vardas196      Pavarde196                          2.20                1.80
Vardas1960     Pavarde1960                         4.07                3.80
Vardas1961     Pavarde1961                         2.93                3.20
Vardas1962     Pavarde1962                         3.47                3.60
Vardas1965     Pavarde1965                         3.60                3.20
Vardas1966     Pavarde1966                         4.45                4.00
Vardas1967     Pavarde1967                         4.85                5.20
Vardas1968     Pavarde1968                         4.95                5.00
Vardas197      Pavarde197                          4.80                4.80
Vardas1970     Pavarde1970                         3.12                3.60
Vardas1971     Pavarde1971                         4.95                4.60
Vardas1974     Pavarde1974                         4.45                4.80
Vardas1978     Pavarde1978                         4.67                4.40
Vardas1979     Pavarde1979                         2.68                2.60
Vardas1980     Pavarde1980                         4.12                4.20
Vardas1981     Pavarde1981                         3.48                3.40
Vardas1982     Pavarde1982                         3.99                3.80
Vardas1984     Pavarde1984                         3.20                2.80
Vardas1988     Pavarde1988                         2.77                2.40
Vardas1989     Pavarde1989                         4.01                4.20
Vardas199      Pavarde199                          4.28                4.60
Vardas1992     Pavarde1992                         2.52                2.60
Vardas1993     Pavarde1993                         3.68                4.40
Vardas1996     Pavarde1996                         3.57                3.20
Vardas200      Pavarde200                          3.44                3.20
Vardas2002     Pavarde2002                         4.92                5.00
Vardas2008     Pavarde2008                         2.89                3.40
Vardas2009     Pavarde2009                         4.19                4.00
Vardas201      Pavarde201                          4.32                4.80
Vardas2012     Pavarde2012                         3.09                2.80
Vardas2015     Pavarde2015                         2.97                3.00
Vardas2016     Pavarde2016                         3.75                3.40
Vardas2017     Pavarde2017                         4.93                5.20
Vardas202      Pavarde202                          2.95                2.60
Vardas2020     Pavarde2020                         4.87                4.60
Vardas2021     Pavarde2021                         2.79                2.60
Vardas2022     Pavarde2022                         2.44                2.60
Vardas2025     Pavarde2025                         2.81                3.00
Vardas2031     Pavarde2031                         3.91                3.80
Vardas2033     Pavarde2033                         4.48                4.40
Vardas2034     Pavarde2034                         3.24                3.40
Vardas2035     Pavarde2035                         3.51                3.40
Vardas2036     Pavarde2036                         4.12                4.60
Vardas2037     Pavarde2037                         4.27                4.40
Vardas204      Pavarde204                          4.85                4.80
Vardas2040     Pavarde2040                         3.75                3.80
Vardas2042     Pavarde2042                         3.08                3.40
Vardas2044     Pavarde2044                         4.33                4.60
Vardas2051     Pavarde2051                         4.67                4.80
Vardas2053     Pavarde2053                         4.88                4.40
Vardas2054     Pavarde2054                         3.52                3.60
Vardas2055     Pavarde2055                         4.11                3.60
Vardas2058     Pavarde2058                         4.49                4.20
Vardas2060     Pavarde2060                         3.67                3.40
Vardas2064     Pavarde2064                         3.69                3.40
Vardas2065     Pavarde2065                         3.79                4.00
Vardas2066     Pavarde2066                         2.52                1.80
Vardas2067     Pavarde2067                         4.57                3.80
Vardas2069     Pavarde2069                         3.03                3.00
Vardas207      Pavarde207                          4.25                4.20
Vardas2074     Pavarde2074                         4.95                5.00
Vardas2076     Pavarde2076                         3.21                3.40
Vardas208      Pavarde208                          4.85                4.80
Vardas2080     Pavarde2080                         3.41                3.60
Vardas2081     Pavarde2081                         3.31                3.60
Vardas2082     Pavarde2082                         3.08                3.00
Vardas2083     Pavarde2083                         3.52                3.60
Vardas2088     Pavarde2088                         2.84                3.00
Vardas2092     Pavarde2092                         3.63                4.40
Vardas2097     Pavarde2097                         4.41                4.60
Vardas2098     Pavarde2098                         4.51                4.80
Vardas2099     Pavarde2099                         4.25                4.20
Vardas2102     Pavarde2102                         2.92                3.00
Vardas2103     Pavarde2103                         3.75                3.80
Vardas2107     Pavarde2107                         3.05                3.40
Vardas2111     Pavarde2111                         3.77                3.40
Vardas2112     Pavarde2112                         2.95                3.00
Vardas2113     Pavarde2113                         2.89                3.40
Vardas2115     Pavarde2115                         3.63                3.60
Vardas2116     Pavarde2116                         4.89                4.60
Vardas212      Pavarde212                          4.89                4.60
Vardas2124     Pavarde2124                         4.80                4.80
Vardas2125     Pavarde2125                         3.13                3.40
Vardas2126     Pavarde2126                         2.97                3.00
Vardas2127     Pavarde2127                         3.72                3.80
Vardas2129     Pavarde2129                         4.83                4.80
Vardas2130     Pavarde2130                         3.36                3.20
Vardas2131     Pavarde2131                         4.97                4.60
Vardas2133     Pavarde2133                         3.09                2.80
Vardas2134     Pavarde2134                         4.12                4.20
Vardas2136     Pavarde2136                         3.35                3.40
Vardas2138     Pavarde2138                         3.33                4.00
Vardas2139     Pavarde2139                         2.76                3.00
Vardas214      Pavarde214                          2.65                2.20
Vardas2141     Pavarde2141                         2.52                2.20
Vardas2143     Pavarde2143                         2.47                2.20
Vardas215      Pavarde215                          4.04                3.80
Vardas2150     Pavarde2150                         3.53                3.40
Vardas2154     Pavarde2154                         3.17                3.20
Vardas2156     Pavarde2156                         2.25                2.20
Vardas2158     Pavarde2158                         3.68                3.60
Vardas2162     Pavarde2162                         4.16                4.00
Vardas2164     Pavarde2164                         4.44                4.60
Vardas2166     Pavarde2166                         4.00                4.00
Vardas217      Pavarde217                          2.52                2.20
Vardas2172     Pavarde2172                         4.87                5.00
Vardas2174     Pavarde2174                         4.47                5.00
Vardas2176     Pavarde2176                         4.19                4.00
Vardas2177     Pavarde2177                         3.49                4.00
Vardas2178     Pavarde2178                         4.84                4.60
Vardas2179     Pavarde2179                         2.88                2.40
Vardas2183     Pavarde2183                         3.99                3.80
Vardas2188     Pavarde2188                         2.76                2.60
Vardas2190     Pavarde2190                         3.44                3.60
