Vardas         Pavarde        ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9   ND10  ND11  ND12  ND13  ND14  ND15  Egz.  
Vardas49       Pavarde49      8     10    10    3     1     6     6     2     10    4     9     9     2     2     10    1     
Vardas50       Pavarde50      1     9     10    8     9     3     5     2     1     6     1     1     8     8     7     5     
Vardas51       Pavarde51      7     2     8     7     4     5     9     4     3     9     4     9     9     10    4     4     
Vardas52       Pavarde52      1     4     3     6     4     9     6     2     5     3     8     6     2     6     4     7     
Vardas53       Pavarde53      10    5     6     8     2     10    10    9     4     3     5     7     8     8     3     5     
Vardas54       Pavarde54      8     9     6     4     8     3     9     3     10    8     5     10    7     2     4     7     
Vardas55       Pavarde55      1     9     2     7     3     4     2     5     9     4     2     4     10    8     8     3     
Vardas56       Pavarde56      6     7     10    6     6     6     9     5     5     8     3     10    5     2     6     2     
Vardas57       Pavarde57      8     2     6     6     10    5     3     4     10    1     10    2     6     4     5     10    
Vardas58       Pavarde58      5     10    6     6     5     5     10    2     8     7     9     9     5     8     9     3     
Vardas59       Pavarde59      4     3     7     8     10    1     3     3     3     7     5     10    1     5     7     2     
Vardas60       Pavarde60      7     10    7     7     1     5     3     2     10    2     3     3     8     5     10    8     
Vardas61       Pavarde61      9     3     1     2     1     1     1     9     5     3     2     1     9     8     6     7     
Vardas62       Pavarde62      7     10    8     5     10    8     6     4     9     7     8     9     10    2     5     4     
Vardas63       Pavarde63      3     4     3     8     5     1     2     5     6     7     5     5     1     7     9     3     
Vardas64       Pavarde64      9     2     10    6     4     10    4     10    6     6     2     6     6     1     8     5     
Vardas65       Pavarde65      5     2     10    8     8     5     4     3     8     5     6     9     9     6     9     8     
Vardas66       Pavarde66      1     2     8     10    5     1     5     4     9     6     10    10    2     8     4     4     
Vardas67       Pavarde67      1     4     7     7     2     6     2     2     1     5     5     6     9     9     5     4     
Vardas68       Pavarde68      3     9     2     2     7     9     2     9     4     7     4     5     6     4     7     2     
Vardas69       Pavarde69      4     8     7     10    6     5     8     10    7     1     3     4     9     1     2     1     
Vardas70       Pavarde70      1     3     5     8     10    8     8     10    1     9     7     4     8     1     8     5     
Vardas71       Pavarde71      3     6     1     1     4     7     7     9     6     8     4     5     5     8     10    3     
Vardas72       Pavarde72      3     3     3     4     5     10    9     7     4     4     2     4     10    5     8     10    
Vardas73       Pavarde73      2     1     4     7     7     6     3     7     10    6     10    6     1     4     2     4     
Vardas74       Pavarde74      9     9     10    4     6     3     6     1     2     7     10    6     6     1     1     9     
Vardas75       Pavarde75      2     5     1     9     9     10    7     9     1     5     7     8     3     6     5     8     
Vardas76       Pavarde76      6     1     5     3     7     5     7     4     10    5     10    2     10    9     1     7     
Vardas77       Pavarde77      1     7     10    2     9     9     8     7     8     9     4     8     7     10    2     9     
Vardas78       Pavarde78      5     6     5     6     4     1     5     9     4     6     10    7     7     9     3     1     
Vardas79       Pavarde79      8     5     10    8     1     9     6     5     3     1     4     4     6     3     8     10    
Vardas80       Pavarde80      2     10    6     6     1     2     10    1     1     2     1     8     7     2     9     8     
Vardas81       Pavarde81      9     1     7     9     5     7     9     8     5     8     6     2     8     1     2     6     
Vardas82       Pavarde82      10    8     10    1     2     3     7     6     3     5     7     7     7     2     10    10    
Vardas83       Pavarde83      5     6     5     6     4     1     6     7     5     8     1     2     10    10    7     4     
Vardas84       Pavarde84      7     8     8     1     3     6     5     7     4     10    8     1     2     1     9     5     
Vardas85       Pavarde85      1     6     10    4     8     1     3     4     3     5     5     4     1     9     4     10    
Vardas86       Pavarde86      9     4     6     3     3     7     1     5     2     10    3     10    8     10    10    1     
Vardas87       Pavarde87      6     7     4     10    6     7     9     4     3     7     6     10    9     6     2     4     
Vardas88       Pavarde88      4     3     1     10    6     5     8     8     9     9     5     1     7     2     1     4     
Vardas89       Pavarde89      9     8     6     4     3     6     3     2     10    1     1     2     2     8     1     5     
Vardas90       Pavarde90      9     7     8     2     5     9     4     5     8     5     9     1     6     3     2     4     
Vardas91       Pavarde91      2     9     7     8     9     8     4     2     4     3     4     4     9     3     4     2     
Vardas92       Pavarde92      10    6     4     10    3     2     10    9     7     10    4     6     10    3     5     2     
Vardas93       Pavarde93      2     2     10    2     1     1     3     7     10    3     2     10    9     1     2     10    
Vardas94       Pavarde94      2     4     2     1     10    2     8     2     3     10    8     4     1     7     1     3     
Vardas95       Pavarde95      9     4     5     8     8     9     3     9     2     8     4     7     6     1     8     3     
Vardas96       Pavarde96      6     4     7     9     4     7     3     3     9     10    1     8     6     9     2     4     
Vardas97       Pavarde97      2     9     3     4     5     10    3     3     5     3     9     4     1     1     7     9     
Vardas98       Pavarde98      2     7     10    9     9     9     3     2     3     7     4     9     1     5     7     1     
Vardas99       Pavarde99      7     6     3     10    9     5     4     8     7     2     4     4     2     1     4     2     
Vardas100      Pavarde100     4     3     5     10    7     2     7     4     10    7     7     8     2     9     10    2     
Vardas101      Pavarde101     7     9     4     4     8     5     8     6     4     1     10    1     3     10    10    2     
Vardas102      Pavarde102     10    8     7     10    3     4     6     4     3     6     7     6     3     4     5     8     
Vardas103      Pavarde103     1     4     3     6     1     3     2     10    10    1     1     5     4     10    1     7     
Vardas104      Pavarde104     2     4     10    8     9     7     8     8     1     1     9     1     4     9     3     2     
Vardas105      Pavarde105     9     10    9     1     4     9     3     4     3     8     10    5     3     1     2     1     
Vardas106      Pavarde106     4     8     4     5     1     1     8     3     7     2     10    7     7     6     5     9     
Vardas107      Pavarde107     10    5     3     10    1     5     6     7     10    6     7     6     4     4     7     10    
Vardas108      Pavarde108     2     1     2     5     8     4     2     9     3     1     7     1     8     3     9     10    
Vardas109      Pavarde109     8     2     5     6     9     4     8     2     3     1     2     5     10    8     4     4     
Vardas110      Pavarde110     1     5     3     4     1     3     7     5     10    1     10    2     4     6     1     5     
Vardas111      Pavarde111     10    5     4     7     1     8     4     6     1     8     8     8     3     7     2     8     
Vardas112      Pavarde112     9     10    5     5     7     1     7     10    8     6     6     5     1     10    6     10    
Vardas113      Pavarde113     4     6     7     7     6     1     7     3     9     4     2     2     8     3     6     7     
Vardas114      Pavarde114     8     4     8     1     1     5     3     10    3     9     3     4     8     7     4     10    
Vardas115      Pavarde115     1     8     3     5     3     4     8     7     9     3     3     10    8     6     4     10    
Vardas116      Pavarde116     6     10    9     3     5     5     10    6     1     4     9     3     8     7     6     8     
Vardas117      Pavarde117     6     9     3     8     10    3     4     4     3     5     2     6     7     10    2     7     
Vardas118      Pavarde118     7     2     2     5     3     5     7     1     6     5     5     8     3     3     3     4     
Vardas119      Pavarde119     8     9     8     1     1     1     1     6     9     2     7     7     9     5     3     4     
Vardas120      Pavarde120     7     8     8     5     7     2     7     4     10    5     10    5     5     1     10    7     
Vardas121      Pavarde121     6     3     9     6     3     2     10    3     7     5     1     1     4     9     9     8     
Vardas122      Pavarde122     10    3     7     9     4     5     6     9     1     10    3     2     3     10    10    3     
Vardas123      Pavarde123     4     7     2     3     4     2     2     1     2     10    1     8     10    1     7     8     
Vardas124      Pavarde124     4     4     1     1     8     5     5     2     10    8     9     2     8     7     6     5     
Vardas125      Pavarde125     1     5     4     4     6     2     4     10    8     3     10    5     6     8     3     8     
Vardas126      Pavarde126     10    1     8     3     9     2     2     6     3     6     2     2     8     1     5     4     
Vardas127      Pavarde127     9     2     1     9     5     2     1     10    6     3     4     6     6     9     1     5     
Vardas128      Pavarde128     6     4     6     9     7     2     2     2     1     10    6     1     6     2     5     2     
Vardas129      Pavarde129     5     6     10    8     1     4     1     6     6     10    5     1     2     4     1     2     
Vardas130      Pavarde130     6     6     4     1     4     5     1     4     5     8     7     7     6     10    7     6     
Vardas131      Pavarde131     7     10    5     7     4     5     1     5     1     1     5     2     10    2     1     7     
Vardas132      Pavarde132     2     9     7     7     3     1     4     1     7     9     8     3     2     3     6     9     
Vardas133      Pavarde133     9     6     10    2     6     10    1     3     5     5     2     8     5     5     8     9     
Vardas134      Pavarde134     2     1     1     3     6     10    4     6     3     10    3     1     8     1     3     8     
Vardas135      Pavarde135     3     2     3     5     8     8     8     7     5     1     9     2     8     1     1     9     
Vardas136      Pavarde136     10    4     1     7     10    6     7     9     9     9     4     10    10    8     1     7     
Vardas137      Pavarde137     8     3     3     5     4     3     2     10    1     1     2     8     8     9     3     1     
Vardas138      Pavarde138     6     1     1     9     5     7     2     1     9     8     1     5     10    10    7     10    
Vardas139      Pavarde139     6     1     4     1     2     3     6     10    8     9     2     9     6     5     10    4     
Vardas140      Pavarde140     9     2     3     6     10    3     1     7     10    3     2     6     2     10    6     2     
Vardas141      Pavarde141     5     5     10    8     8     6     1     10    4     3     6     10    4     3     9     9     
Vardas142      Pavarde142     3     7     6     5     3     7     3     3     4     4     10    2     2     9     3     8     
Vardas143      Pavarde143     10    5     8     10    2     6     6     10    10    5     7     3     6     3     9     6     
Vardas144      Pavarde144     7     3     7     4     10    8     8     1     9     3     1     5     9     9     7     8     
Vardas145      Pavarde145     1     7     6     9     4     6     8     9     10    5     2     9     3     10    3     4     
Vardas146      Pavarde146     9     7     10    8     3     5     5     10    5     8     2     4     1     2     4     5     
Vardas147      Pavarde147     7     8     1     4     6     2     9     4     8     7     4     2     5     9     4     9     
Vardas148      Pavarde148     6     5     8     10    7     6     1     3     2     7     2     6     2     9     9     4     
Vardas149      Pavarde149     5     2     10    2     4     4     10    1     8     5     8     1     10    10    2     6     
Vardas150      Pavarde150     4     3     5     10    10    1     1     1     2     10    9     1     10    4     7     1     
Vardas151      Pavarde151     2     3     7     8     10    8     2     1     2     1     5     5     10    9     6     6     
Vardas152      Pavarde152     2     6     5     1     1     7     2     1     9     5     7     8     1     1     5     9     
Vardas153      Pavarde153     7     4     7     2     5     5     8     5     6     6     8     10    5     8     4     9     
Vardas154      Pavarde154     2     6     5     3     9     5     6     3     7     3     2     10    1     1     2     9     
Vardas155      Pavarde155     6     3     10    10    5     5     1     1     4     3     5     1     2     10    3     2     
Vardas156      Pavarde156     5     5     8     9     8     4     10    7     2     3     10    9     8     8     2     1     
Vardas157      Pavarde157     10    10    3     6     8     6     4     4     5     5     7     7     2     7     1     1     
Vardas158      Pavarde158     7     6     1     2     8     2     4     8     5     7     10    8     9     4     5     2     
Vardas159      Pavarde159     1     6     4     8     10    1     10    9     5     4     5     8     7     5     3     9     
Vardas160      Pavarde160     3     3     5     10    5     1     9     5     4     5     6     2     6     8     4     4     
Vardas161      Pavarde161     1     2     6     8     1     5     10    4     10    6     10    10    2     7     4     7     
Vardas162      Pavarde162     1     6     8     4     9     3     9     8     9     6     5     1     9     10    5     4     
Vardas163      Pavarde163     2     8     4     2     10    6     5     3     6     10    5     2     1     8     8     3     
Vardas164      Pavarde164     9     2     2     5     2     8     1     10    6     4     5     3     2     5     9     5     
Vardas165      Pavarde165     8     6     1     4     6     10    5     1     1     4     4     3     10    4     6     4     
Vardas166      Pavarde166     5     3     8     3     8     8     6     6     7     9     8     7     9     1     9     3     
Vardas167      Pavarde167     9     8     2     4     3     10    5     3     7     8     10    4     7     1     10    5     
Vardas168      Pavarde168     5     4     6     3     10    1     10    6     10    3     7     6     10    10    6     7     
Vardas169      Pavarde169     7     6     4     7     8     8     6     2     4     3     7     6     4     10    3     6     
Vardas170      Pavarde170     10    9     1     7     4     1     10    3     1     9     9     3     9     1     3     5     
Vardas171      Pavarde171     8     10    2     8     3     4     3     8     8     6     2     3     1     1     5     10    
Vardas172      Pavarde172     5     6     6     2     10    2     4     8     9     8     10    9     10    6     5     6     
Vardas173      Pavarde173     4     6     6     6     10    3     1     9     2     9     1     7     1     8     5     2     
Vardas174      Pavarde174     8     6     4     5     10    5     3     1     8     4     10    8     9     4     6     1     
Vardas175      Pavarde175     8     5     1     9     3     7     3     3     2     4     1     5     10    1     8     10    
Vardas176      Pavarde176     6     9     4     2     4     1     7     10    5     1     8     8     5     3     9     5     
Vardas177      Pavarde177     2     2     8     3     8     8     8     3     7     7     7     2     9     1     5     6     
Vardas178      Pavarde178     9     7     10    10    10    5     3     10    6     1     2     4     6     7     4     6     
Vardas179      Pavarde179     4     6     2     3     3     9     3     9     8     6     1     8     3     9     9     3     
Vardas180      Pavarde180     9     7     3     1     10    1     8     6     10    7     5     7     2     5     4     2     
Vardas181      Pavarde181     10    7     10    4     4     4     3     3     3     4     10    8     6     1     7     8     
Vardas182      Pavarde182     8     6     7     8     5     3     1     7     10    4     8     5     9     3     7     9     
Vardas183      Pavarde183     6     3     7     1     6     8     10    1     8     10    2     5     2     7     4     8     
Vardas184      Pavarde184     10    10    7     8     7     2     3     2     4     8     8     5     7     1     4     9     
Vardas185      Pavarde185     6     3     6     4     5     5     1     8     6     4     4     9     9     3     4     8     
Vardas186      Pavarde186     1     9     1     10    1     5     6     7     5     1     4     2     4     5     10    4     
Vardas187      Pavarde187     10    10    2     1     10    7     5     10    2     6     2     9     5     6     8     2     
Vardas188      Pavarde188     10    9     2     4     10    7     3     8     3     1     3     8     8     4     7     3     
Vardas189      Pavarde189     3     1     6     10    4     1     1     3     4     9     7     2     3     7     7     8     
Vardas190      Pavarde190     5     4     7     6     4     10    4     8     10    1     4     5     6     7     4     3     
Vardas191      Pavarde191     7     8     2     7     1     3     8     1     1     1     6     2     3     6     2     7     
Vardas192      Pavarde192     5     9     6     6     9     2     8     4     5     7     1     10    8     4     1     9     
Vardas193      Pavarde193     2     9     5     8     3     7     10    7     5     8     8     2     10    7     4     2     
Vardas194      Pavarde194     7     5     4     8     1     7     9     6     10    5     9     1     6     3     3     9     
Vardas195      Pavarde195     2     8     8     1     1     8     2     6     6     9     10    10    6     6     2     7     
Vardas196      Pavarde196     9     6     9     2     10    3     10    9     5     2     10    8     4     6     10    9     
Vardas197      Pavarde197     9     5     8     8     10    4     10    9     8     6     7     7     2     9     1     5     
Vardas198      Pavarde198     1     10    6     1     5     6     8     8     8     4     10    7     10    10    5     4     
Vardas199      Pavarde199     3     4     6     5     8     9     5     10    9     3     4     4     2     9     1     5     
Vardas200      Pavarde200     7     5     1     4     4     10    5     3     3     8     8     5     4     8     1     1     
Vardas201      Pavarde201     8     3     4     1     8     2     1     1     1     5     7     7     1     1     5     3     
Vardas202      Pavarde202     7     10    7     2     5     1     2     1     9     10    5     10    8     8     9     3     
Vardas203      Pavarde203     6     6     1     5     6     10    1     1     7     8     5     9     5     3     2     8     
Vardas204      Pavarde204     10    8     5     9     7     1     9     5     4     10    5     7     2     4     6     10    
Vardas205      Pavarde205     7     7     9     10    8     9     2     3     5     3     3     6     1     9     1     6     
Vardas206      Pavarde206     10    7     8     4     1     7     9     3     9     3     10    7     8     6     2     3     
Vardas207      Pavarde207     2     8     5     10    8     5     5     7     4     2     10    7     9     8     1     4     
Vardas208      Pavarde208     5     7     9     7     8     2     8     1     4     1     5     5     5     5     4     9     
Vardas209      Pavarde209     7     1     9     9     10    9     1     4     3     3     9     3     2     6     7     5     
Vardas210      Pavarde210     4     10    4     8     3     7     7     8     8     7     4     5     1     5     10    2     
Vardas211      Pavarde211     8     2     4     4     2     9     4     1     2     9     3     2     10    7     6     1     
Vardas212      Pavarde212     3     9     4     7     4     10    3     5     3     5     2     7     10    4     4     5     
Vardas213      Pavarde213     9     2     1     4     5     3     3     8     7     4     9     9     9     2     7     1     
Vardas214      Pavarde214     8     2     7     9     3     1     9     7     7     1     6     3     10    9     3     8     
Vardas215      Pavarde215     10    6     9     3     3     1     5     4     8     3     7     7     3     9     9     2     
Vardas216      Pavarde216     1     1     10    6     4     7     4     5     6     6     1     7     1     9     10    9     
Vardas217      Pavarde217     1     10    9     2     5     8     1     4     5     4     8     8     10    3     10    6     
Vardas218      Pavarde218     9     1     7     2     2     7     2     3     7     8     8     5     1     2     7     7     
Vardas219      Pavarde219     6     8     9     4     2     8     9     8     5     7     4     7     10    4     7     9     
Vardas220      Pavarde220     8     4     7     6     3     6     4     1     2     9     2     9     6     6     6     4     
Vardas221      Pavarde221     6     3     6     6     8     9     1     3     3     5     5     5     3     2     9     1     
Vardas222      Pavarde222     2     9     1     5     9     8     6     4     2     8     2     1     7     8     10    8     
Vardas223      Pavarde223     5     5     4     4     1     2     7     10    5     2     6     2     2     2     9     9     
Vardas224      Pavarde224     4     3     7     3     4     3     7     9     6     6     2     7     10    4     6     5     
Vardas225      Pavarde225     3     4     1     4     9     4     9     3     2     10    6     5     7     8     4     7     
Vardas226      Pavarde226     4     7     9     5     6     7     9     6     6     4     9     6     1     4     8     6     
Vardas227      Pavarde227     4     2     10    5     10    1     10    10    4     10    4     1     6     8     5     1     
Vardas228      Pavarde228     10    7     8     10    2     6     1     2     6     4     1     9     9     6     9     4     
Vardas229      Pavarde229     10    10    6     8     7     1     6     8     1     2     5     8     5     9     7     4     
Vardas230      Pavarde230     10    5     8     6     1     4     4     8     6     4     8     9     7     3     2     4     
Vardas231      Pavarde231     1     7     10    8     1     7     8     2     9     6     3     10    4     5     2     3     
Vardas232      Pavarde232     8     7     2     1     7     1     2     6     8     10    8     4     10    10    8     2     
Vardas233      Pavarde233     9     1     3     5     2     9     10    5     5     9     10    4     9     4     9     6     
Vardas234      Pavarde234     9     5     5     8     7     9     6     7     5     2     1     4     7     5     6     2     
Vardas235      Pavarde235     10    8     9     8     9     9     2     10    7     1     2     9     4     9     8     7     
Vardas236      Pavarde236     4     9     10    10    3     2     8     4     10    5     10    2     10    4     8     7     
Vardas237      Pavarde237     10    6     4     10    4     10    8     9     4     3     8     6     3     9     10    1     
Vardas238      Pavarde238     5     7     8     4     3     1     7     5     9     9     10    3     5     1     8     4     
Vardas239      Pavarde239     6     2     10    7     3     6     2     4     10    9     5     7     9     6     3     5     
Vardas240      Pavarde240     5     10    8     1     1     7     5     3     9     10    2     3     1     5     1     1     
Vardas241      Pavarde241     6     6     10    7     10    7     9     6     6     3     6     2     6     4     5     2     
Vardas242      Pavarde242     6     1     5     5     1     7     7     6     2     10    6     9     8     10    7     3     
Vardas243      Pavarde243     10    6     8     7     3     8     10    10    8     10    4     1     5     3     8     5     
Vardas244      Pavarde244     10    10    2     8     8     1     2     3     2     10    1     8     3     6     7     1     
Vardas245      Pavarde245     2     7     4     4     1     3     10    2     10    10    5     4     5     5     1     8     
Vardas246      Pavarde246     7     9     3     1     10    5     3     1     7     8     8     10    5     10    2     9     
Vardas247      Pavarde247     4     4     6     10    6     5     7     1     3     9     9     9     5     2     8     5     
Vardas248      Pavarde248     5     7     9     5     4     10    1     2     7     8     8     4     3     10    9     2     
Vardas249      Pavarde249     2     3     7     4     5     8     10    2     2     2     1     6     8     10    2     5     
Vardas250      Pavarde250     6     2     1     7     1     3     5     9     10    1     8     5     4     1     7     7     
Vardas251      Pavarde251     2     6     1     1     9     8     2     7     3     6     7     1     8     2     4     3     
Vardas252      Pavarde252     3     10    2     5     3     1     5     10    9     6     5     1     4     4     1     8     
Vardas253      Pavarde253     5     10    7     4     4     8     6     8     5     3     10    2     10    9     8     10    
Vardas254      Pavarde254     8     6     7     9     3     2     6     6     6     9     6     9     4     10    10    8     
Vardas255      Pavarde255     7     9     3     3     6     4     5     6     4     7     7     6     3     6     4     2     
Vardas256      Pavarde256     8     6     7     6     6     8     6     8     6     2     9     2     2     5     10    3     
Vardas257      Pavarde257     10    1     2     8     5     2     1     2     2     8     5     2     1     7     9     5     
Vardas258      Pavarde258     2     10    7     3     1     1     9     10    6     10    5     8     3     9     2     6     
Vardas259      Pavarde259     10    8     9     4     7     7     9     7     1     4     1     9     1     10    6     5     
Vardas260      Pavarde260     4     3     9     7     1     7     2     5     4     5     1     1     5     4     8     4     
Vardas261      Pavarde261     9     1     7     10    9     5     5     6     7     4     3     7     7     4     1     10    
Vardas262      Pavarde262     2     9     2     10    10    6     10    8     10    1     6     4     1     6     6     9     
Vardas263      Pavarde263     3     1     1     5     5     2     2     5     10    5     2     2     9     8     10    4     
Vardas264      Pavarde264     8     9     5     5     5     8     3     7     5     3     5     4     10    9     4     6     
Vardas265      Pavarde265     2     2     10    9     10    5     2     6     2     1     6     5     7     8     10    1     
Vardas266      Pavarde266     4     5     7     1     4     5     3     7     8     9     7     10    4     1     2     5     
Vardas267      Pavarde267     2     6     5     1     2     1     8     2     7     10    4     1     2     8     7     7     
Vardas268      Pavarde268     9     5     7     2     7     3     3     7     9     9     3     5     10    5     1     3     
Vardas269      Pavarde269     7     3     8     5     4     10    9     8     9     1     10    5     8     6     2     4     
Vardas270      Pavarde270     5     6     10    6     2     9     1     1     9     6     10    3     4     2     8     3     
Vardas271      Pavarde271     8     8     4     8     10    4     4     3     7     6     5     5     4     6     10    5     
Vardas272      Pavarde272     6     6     3     4     3     10    8     4     8     4     1     6     2     2     2     8     
Vardas273      Pavarde273     7     5     4     9     6     6     2     7     5     3     8     7     4     7     2     3     
Vardas274      Pavarde274     4     9     1     7     4     7     1     10    4     5     8     3     7     9     9     8     
Vardas275      Pavarde275     2     6     3     8     9     2     3     6     7     7     10    3     1     4     3     1     
Vardas276      Pavarde276     7     10    7     4     3     4     7     4     7     4     2     7     5     2     6     1     
Vardas277      Pavarde277     1     4     10    2     9     2     2     10    1     8     8     4     5     5     9     9     
Vardas278      Pavarde278     3     9     7     8     2     3     5     9     9     6     2     4     2     9     6     10    
Vardas279      Pavarde279     10    6     4     5     3     2     5     1     1     6     10    4     8     10    1     9     
Vardas280      Pavarde280     2     10    6     7     4     3     6     9     4     3     7     9     2     8     4     2     
Vardas281      Pavarde281     9     4     6     2     6     5     8     9     2     4     3     3     1     5     7     2     
Vardas282      Pavarde282     2     2     5     7     7     1     7     7     6     1     10    7     9     4     3     4     
Vardas283      Pavarde283     2     4     5     2     10    7     2     5     7     5     10    3     7     7     6     5     
Vardas284      Pavarde284     9     8     5     3     5     10    4     9     4     6     2     6     2     1     4     8     
Vardas285      Pavarde285     10    1     4     1     2     10    4     4     6     4     8     7     4     8     4     3     
Vardas286      Pavarde286     5     2     1     10    6     6     4     6     4     1     6     5     7     1     10    1     
Vardas287      Pavarde287     1     9     5     10    7     3     2     7     10    8     7     3     7     4     4     8     
Vardas288      Pavarde288     7     6     8     2     2     3     3     3     5     4     2     4     5     1     9     4     
Vardas289      Pavarde289     7     6     9     8     4     7     10    8     5     6     7     9     6     6     5     4     
Vardas290      Pavarde290     1     5     7     4     5     9     1     8     4     9     7     8     10    3     2     3     
Vardas291      Pavarde291     10    6     3     1     2     4     7     6     7     7     10    9     9     3     7     9     
Vardas292      Pavarde292     7     1     10    4     5     6     5     8     7     3     6     10    5     10    8     4     
Vardas293      Pavarde293     8     6     8     6     3     2     5     5     4     8     4     6     10    5     5     5     
Vardas294      Pavarde294     5     8     8     3     9     6     8     8     2     2     10    10    2     2     10    10    
Vardas295      Pavarde295     3     5     9     2     8     4     9     5     10    2     6     1     1     2     9     4     
Vardas296      Pavarde296     5     4     9     4     1     9     5     6     3     3     10    3     3     1     1     4     
Vardas297      Pavarde297     5     5     6     1     5     2     7     6     3     7     6     2     8     5     4     1     
Vardas298      Pavarde298     4     6     3     5     3     7     3     3     10    7     9     2     1     4     10    1     
Vardas299      Pavarde299     10    8     10    2     6     10    7     9     7     1     9     6     5     4     6     1     
Vardas300      Pavarde300     3     7     7     5     8     4     10    4     2     5     6     3     8     7     4     9     
Vardas301      Pavarde301     4     8     1     7     10    5     2     10    1     6     6     6     4     1     4     9     
